external_id,active,address,activation_date,number_arc,type_arc,district,carpet,lat,long,id,owner,operator
w3634,,"улица Брянская, 5",,1,,,,55.744219,37.56139,6758,whoosh,ultradop
w3635,,станция метро Арбатская (вых. 1),,1,,,,55.752148,37.601841,6759,whoosh,ultradop
w3636,,станция метро Арбатская (вых. 1),,1,,,,55.752148,37.601841,6760,whoosh,ultradop
w3637,,станция метро Арбатская (вых. 1),,1,,,,55.752148,37.601841,6761,whoosh,ultradop
w3638,,Бульварное кольцо 1,,1,,,,55.751586,37.600104,6762,whoosh,ultradop
w3639,,Бульварное кольцо 2,,1,,,,55.751974,37.600217,6763,whoosh,ultradop
w3640,,"Гоголевский бульвар, 10с1",,1,,,,55.74712,37.600148,6764,whoosh,ultradop
w3641,,"улица Ленивка, 1с2",,1,,,,55.746817,37.609098,6765,whoosh,ultradop
w3642,,"улица Шаболовка, 50",,1,,,,55.713748,37.606796,6766,whoosh,ultradop
w3643,,улица Орджоникидзе,,1,,,,55.71074,37.600922,6767,whoosh,ultradop
w3644,,"улица Орджоникидзе, 6/9",,1,,,,55.710573,37.59828,6768,whoosh,ultradop
w3645,,"улица Орджоникидзе, 10",,1,,,,55.710275,37.593941,6769,whoosh,ultradop
w3646,,"улица Вавилова, 6",,1,,,,55.707652,37.589331,6770,whoosh,ultradop
w3647,,"улица Вавилова,6 через дорогу",,1,,,,55.707259,37.588278,6771,whoosh,ultradop
w3648,,"Енинский проспект, 41/2",,1,,,,55.705479,37.577183,6772,whoosh,ultradop
w3649,,"проспект 60-летия Октября, 2/41",,1,,,,55.706505,37.578527,6773,whoosh,ultradop
w3650,,Площадь Гагарина,,1,,,,55.708303,37.583039,6774,whoosh,ultradop
w3651,,"улица Малая Калужская, 8",,1,,,,55.717798,37.597445,6775,whoosh,ultradop
w3652,,"улица Малая Калужская, 1с3",,1,,,,55.720522,37.600991,6776,whoosh,ultradop
w3653,,"улица Дубининская, 65к3",,1,,,,55.716589,37.634397,6777,whoosh,ultradop
w3654,,"1-й Павловский переулок, 5",,1,,,,55.717125,37.62973,6778,whoosh,ultradop
w3655,,"улица Павловская, 21",,1,,,,55.717231,37.628264,6779,whoosh,ultradop
w3656,,"улица Донская, 18/7с1",,1,,,,55.721536,37.606015,6780,whoosh,ultradop
w3657,,"улица Донская, 8",,1,,,,55.72368,37.607396,6781,whoosh,ultradop
w3658,,"улица Донская, 6с2",,1,,,,55.724261,37.607524,6782,whoosh,ultradop
w3659,,"Смоденский бульвар, 6-8",,1,,,,55.740721,37.585431,6783,whoosh,ultradop
w3660,,"Богословский переулок, 3",,1,,,,55.761972,37.601008,6784,whoosh,ultradop
w3661,,"Большой Палашёвский переулок, 15с1",,1,,,,55.764931,37.600682,6785,whoosh,ultradop
w3662,,"Большой Палашёвский переулок, 15с1",,1,,,,55.764931,37.600682,6786,whoosh,ultradop
w3663,,"улица Авиамоторная, 26",,1,,,,55.746167,37.720124,6787,whoosh,ultradop
w3664,,"улица Авиамоторная, 28/6",,1,,,,55.746167,37.720124,6788,whoosh,ultradop
w3665,,"улица Генерала Яковлева, 51Ас1",,1,,,,55.746972,37.722251,6789,whoosh,ultradop
w3666,,"улица 5-я Кабельная, 11с10",,1,,,,55.737385,37.724696,6790,whoosh,ultradop
w3667,,"улица Авиамоторная, 57",,1,,,,55.743072,37.721746,6791,whoosh,ultradop
w3668,,"Белгородский проезд, 19",,1,,,,55.760212,37.646558,6792,whoosh,ultradop
w3669,,"Малая Сухаревская площадь, 3",,1,,,,55.773526,37.629109,6793,whoosh,ultradop
w3670,,"Большой Кисельный переулок, 16/13",,1,,,,55.764391,37.629466,6794,whoosh,ultradop
w3671,,"улица Рождественка, 15/8с3",,1,,,,55.764331,37.623454,6795,whoosh,ultradop
w3672,,"улица Рождественка, 12/1",,1,,,,55.763563,37.623627,6796,whoosh,ultradop
w3673,,площадь Пречистенские Ворота,,1,,,,55.74429,37.600925,6797,whoosh,ultradop
w3674,,Гончарный поезд,,1,,,,55.738178,37.64824,6798,whoosh,ultradop
w3675,,"улица Малые Каменшики, 9",,1,,,,55.738602,37.65171,6799,whoosh,ultradop
